gene,training_f_score
SNX10,18.243870994615367
JUND,18.236449122779067
EPHX2,18.12228331205111
CD83,18.121478633431558
STX7,18.105819631845343
FERMT3,18.04787087511933
FBP1,18.039344283100586
WDR83OS,18.03817148544682
STRBP,18.011617110414473
SLAMF7,17.98850018646208
XBP1,17.937418999639718
LIMD2,17.917275854813717
MYD88,17.88846028848793
DUSP2,17.886193231522068
IFNG,17.8377900714276
CSF2RA,17.82821553912888
PPP2R5C,17.817967414446727
S100B,17.773334381456056
GP6,17.752551923473696
TMIGD2,17.71033725719197
C5orf56,17.646218828259073
MBD2,17.613356260039073
HBA1,17.582915576879042
SUSD3,17.55078602671063
GNB2,17.47095014554543
NCR1,17.455183408885087
ITM2C,17.450699058319483
PLA2G16,17.4351951588229
EOMES,17.367257434572355
WDR1,17.325563076872932
TTC39C,17.302282930624724
HMGN1,17.289732134756985
CD200,17.272940555001863
OLIG1,17.25026112549431
PDLIM7,17.24980270600627
FCGR1B,17.249675543473625
PSMA7,17.185785668034647
POLE4,17.132717187948185
RNF135,17.102894722359427
ARPC5,17.08414105513399
LAPTM5,17.08358510981821
LILRA1,17.080611955368862
RGS3,17.07463279787278
NDUFS7,17.020818174959693
SH2D1A,17.011106477511156
CD38,17.009098972968783
PRKCH,16.984733226497664
INPP5A,16.97041269874666
TNFAIP8,16.96166330244193
SMPDL3A,16.901229848006206
GLIPR1,16.899157017042025
RAB10,16.888498318885983
SPINT2,16.83320392731354
RP11-110A12.2,16.783975639191922
REEP5,16.771897985044642
RAB24,16.73117694279421
EPSTI1,16.71586493574707
C15orf26,16.70447927878993
MYC,16.6945803226956
TGFB1,16.667267149006662
DHRS7,16.64170348321476
LINC00984,16.63749746513446
LY6G5B,16.634206409927728
ARHGAP24,16.627345454047575
UBE2C,16.618033834865205
BCL7A,16.58278983571755
C16orf74,16.566183176513274
CORO1B,16.556797943351526
C11orf31,16.536212177690597
RP5-887A10.1,16.533264352715555
ITGAM,16.50052496864892
SKAP1,16.459485278494054
BNIP3L,16.45334539291198
IGJ,16.445784832153343
CTTN,16.437563325024954
RP11-647K16.1,16.43467025403662
PTAFR,16.419644624493625
TAGLN2,16.403968846672303
ITGAL,16.402345265757916
FAM46A,16.36293368750236
PSMB3,16.313810429734307
CECR1,16.31371104030248
CACNA2D3,16.306267015226165
PYHIN1,16.28709731424282
CDCA7L,16.279352029676218
RILPL2,16.227638416217328
SEPT4,16.173682289553266
ALDH3B1,16.160739622814003
KIR3DL1,16.15670692606204
TUBA8,16.149359137685664
COMT,16.144640072177847
UQCRC1,16.08752610745222
DUSP1,16.086096274392816
NEXN,16.05723987962919
FKBP11,16.038877290440524
PIK3AP1,16.038762300376717
SMARCD3,16.0202706397081
TXNIP,16.018982355606557
UQCRFS1,15.953460267320294
TNFRSF8,15.94232574737174
PBXIP1,15.892897112099973
NANS,15.870175726131647
TNFRSF1A,15.837895672877934
LCN8,15.78919408289514
PSMB10,15.774727893413749
CHMP4B,15.753003356330183
LRP1,15.699167234201644
SLC40A1,15.669946154543315
ADAP2,15.66526739489388
PLEKHO1,15.661076524949442
LMO2,15.660742659926447
MMP23B,15.656408350610132
RELT,15.654260003901943
KIAA0930,15.646899959530991
CRIP1,15.642143980651754
IL18RAP,15.63346417532538
SLC9A3R1,15.628701720816542
NCF4,15.622421436851567
TXK,15.600289731762595
UBE2F,15.60023564900851
VIL1,15.580892878072918
CALM3,15.575902131775722
RNPEP,15.56603913381091
PBX1,15.55605132245912
ZFAND5,15.544619192645145
BIN1,15.44083530534673
LNP1,15.430892643332877
PNMA1,15.412753975519694
SDCBP,15.403063693344105
TMEM219,15.353735628853542
OXNAD1,15.314448483432372
NFKBIZ,15.306041947337016
ATP5E,15.291989743762668
PLSCR1,15.288301214713124
POLR2L,15.283080920929226
GAS7,15.252364281417853
IER2,15.237979009421668
FCGR2B,15.111841510192205
MYO1G,15.082074258498713
COX7C,15.076626312071843
PTGER2,15.068579372583274
LIM2,15.065714780279558
FUOM,15.05375378137736
H2AFZ,14.982167643431723
